DATA;HORA;PREC;P_EST;TBS;TBU;ES_TS;ES_TU;E;URA;DELTA_E;TPO;UA;US;R;Q
04/02/2020;12;0;938.3;21;18.2;24.869;20.9;18.63196716;74.921;6.237;14.84078065;13.72681662;18.32172025;0.0126;0.0124
04/02/2020;18;0;936.3;27;21.2;35.651;25.176;20.47796169;57.44;15.173;16.09787906;14.78508834;25.74014727;0.0139;0.0137
05/02/2020;0;0;937;22.7;19.5;27.587;22.668;20.07574791;72.772;7.511;15.83391569;14.70546837;20.20755867;0.0136;0.0134
05/02/2020;12;0;937.1;23.2;20;28.434;23.382;20.78970075;73.114;7.645;16.29892379;15.20273188;20.79307326;0.0141;0.0139
05/02/2020;18;0;935.5;27.8;22.2;37.359;26.762;22.22593586;59.493;15.133;17.18784591;16.00444717;26.90142655;0.0151;0.0149
06/02/2020;0;0;936.4;23;20;28.093;23.382;20.95170075;74.58;7.141;16.40221259;15.33154859;20.55713831;0.0142;0.014
06/02/2020;12;0;937.4;23.4;20.2;28.78;23.673;21.0807408;73.249;7.699;16.48391678;15.40515674;21.03133559;0.0143;0.0141
06/02/2020;18;0;935.8;30.4;23.4;43.411;28.78;23.10972238;53.235;20.301;17.70672425;16.49823951;30.99142659;0.0157;0.0155
07/02/2020;0;0;937.6;23.4;18.7;28.78;21.565;17.75805603;61.703;11.022;14.2015295;12.97704095;21.03133559;0.012;0.0119
07/02/2020;12;0;936;23.4;20.4;28.78;23.967;21.53694332;74.834;7.243;16.76881353;15.73853551;21.03133559;0.0146;0.0144
07/02/2020;18;0;934.7;29.6;22.6;41.464;27.42;21.75034669;52.456;19.714;16.90001764;15.56882053;29.67978539;0.0148;0.0146
08/02/2020;0;0;936;23.8;21.5;29.481;25.643;23.77989385;80.661;5.701;18.08712546;17.35419477;21.51491807;0.0162;0.016
08/02/2020;12;0;935.9;23.8;20.9;29.481;24.716;22.3674764;75.87;7.114;17.27231827;16.32343459;21.51491807;0.0152;0.015
08/02/2020;18;0;933.9;28.7;23.2;39.365;28.434;23.97947968;60.916;15.385;18.19834387;17.2156291;28.26133655;0.0164;0.0161
09/02/2020;0;0;934;24.4;22.3;30.561;26.925;25.22423045;82.536;5.337;18.87175501;18.37111067;22.25822326;0.0173;0.017
09/02/2020;12;0;935.9;22.1;20.8;26.6;24.565;23.51195207;88.392;3.088;17.93633916;17.25750192;19.52373157;0.016;0.0158
09/02/2020;18;0;935.5;26.2;21.8;34.012;26.117;22.55337462;66.31;11.458;17.38245517;16.32707535;24.62217659;0.0154;0.0151
10/02/2020;0;0;938.3;18.8;17;21.7;19.377;17.91850102;82.573;3.782;14.32121712;13.30071049;16.10787973;0.0121;0.012
10/02/2020;12;0;938.3;19;15.6;21.973;17.723;14.96880587;68.124;7.004;11.92778823;11.10357312;16.29910301;0.0101;0.01
10/02/2020;18;0;937.9;24.8;18.4;31.301;21.164;15.97981631;51.053;15.321;12.79749319;11.62266022;22.76594024;0.0108;0.0107
11/02/2020;0;0;938.2;19.8;15.6;23.094;17.723;14.32080587;62.011;8.773;11.33889667;10.59387483;17.08372903;0.0096;0.0095
11/02/2020;12;0;939.9;19.8;16.1;23.094;18.299;15.30162114;66.259;7.792;12.22040908;11.31943695;17.08372903;0.0103;0.0102
11/02/2020;18;0;937.4;26;18.2;33.612;20.9;14.58196716;43.383;19.03;11.57937956;10.5633916;24.34929371;0.0098;0.0097
12/02/2020;0;0;938.2;21.3;16.9;25.331;19.254;15.69005286;61.941;9.641;12.55398559;11.547623;18.64303601;0.0106;0.0105
12/02/2020;12;0;939;20;16.2;23.382;18.416;15.33773128;65.597;8.044;12.25177463;11.33840476;17.28490233;0.0103;0.0102
12/02/2020;18;0;935.4;27.5;19.4;36.71;22.527;15.96626841;43.493;20.744;12.78620674;11.50846502;26.46078551;0.0108;0.0107
13/02/2020;0;0;936.6;22.2;18;26.762;20.639;17.23700174;64.409;9.525;13.80524104;12.64747485;19.63629847;0.0117;0.0115
13/02/2020;12;0;938.6;20;16.6;23.382;18.891;16.13676564;69.015;7.245;12.92755107;11.92909023;17.28490233;0.0109;0.0108
13/02/2020;18;0;937;29.1;20.8;40.286;24.565;17.84195207;44.288;22.444;14.26424794;12.79234299;28.88441074;0.0121;0.0119
14/02/2020;0;0;937;24.2;18.4;30.198;21.164;16.46581631;54.527;13.732;13.19616504;12.00032238;22.00803831;0.0111;0.011
14/02/2020;12;0;937.5;21.4;17.7;25.486;20.253;17.25590211;67.706;8.231;13.81982393;12.69574863;18.75121511;0.0117;0.0115
14/02/2020;18;0;935.5;28.6;21;39.138;24.869;18.71281697;47.813;20.425;14.89839793;13.43897929;28.10738157;0.0127;0.0125
15/02/2020;0;0;935.6;22.9;19.7;27.923;22.951;20.35900735;72.91;7.564;16.02035597;14.90287595;20.44003773;0.0138;0.0136
15/02/2020;12;0;936.4;22.2;19.2;26.762;22.249;19.81859227;74.055;6.943;15.66236445;14.54169067;19.63629847;0.0134;0.0133
15/02/2020;18;0;935.9;25.8;20.2;33.217;23.673;19.1367408;57.611;14.08;15.19648851;13.87221572;24.07901344;0.013;0.0128
